;HashId;ProjectName;UpdateAt;TimeToUpdate;CreatedAt;Age;PrimaryLanguage;Stargazers;TotalOfPullRequests;TotalOfReleases;TotalOfIssues;TotalOfClosedIssues
0;MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==;freeCodeCamp/freeCodeCamp;19/08/2021;0;24/12/2014;2429;JavaScript;328747;15281;0;15509;15362
1;MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=;996icu/996.ICU;18/08/2021;0;26/03/2019;876;Rust;258290;1020;0;0;0
2;MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==;EbookFoundation/free-programming-books;19/08/2021;0;11/10/2013;2868;-;199294;3519;0;588;569
3;MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==;jwasham/coding-interview-university;19/08/2021;0;06/06/2016;1899;-;189921;249;0;275;241
4;MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==;vuejs/vue;19/08/2021;0;29/07/2013;2942;JavaScript;187028;1046;210;9540;9221
5;MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==;facebook/react;19/08/2021;0;24/05/2013;3008;JavaScript;173153;7749;96;10639;10035
6;MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==;kamranahmedse/developer-roadmap;19/08/2021;0;15/03/2017;1617;-;168790;62;4;530;464
7;MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==;sindresorhus/awesome;19/08/2021;0;11/07/2014;2595;Shell;167248;552;0;282;263
8;MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==;tensorflow/tensorflow;19/08/2021;0;07/11/2015;2111;C++;158498;13141;145;32578;29253
9;MDEwOlJlcG9zaXRvcnkyMTI2MjQ0;twbs/bootstrap;18/08/2021;0;29/07/2011;3673;JavaScript;152419;7109;72;20728;20426
10;MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==;public-apis/public-apis;19/08/2021;0;20/03/2016;1977;Python;149838;1177;0;265;256
11;MDEwOlJlcG9zaXRvcnkxNDQ0MDI3MA==;getify/You-Dont-Know-JS;19/08/2021;0;16/11/2013;2832;-;143072;350;0;878;799
12;MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==;donnemartin/system-design-primer;19/08/2021;0;26/02/2017;1634;Python;141582;188;0;171;55
13;MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=;CyC2018/CS-Notes;19/08/2021;0;13/02/2018;1282;Java;136925;375;0;504;430
14;MDEwOlJlcG9zaXRvcnkyOTExMzc=;ohmyzsh/ohmyzsh;19/08/2021;0;28/08/2009;4373;Shell;131826;2485;0;3878;3658
15;MDEwOlJlcG9zaXRvcnkzMTc5MjgyNA==;flutter/flutter;19/08/2021;0;06/03/2015;2357;Dart;127661;21473;0;58296;49058
16;MDEwOlJlcG9zaXRvcnkxMDYyODk3;github/gitignore;19/08/2021;0;08/11/2010;3936;-;122178;1445;0;0;0
17;MDEwOlJlcG9zaXRvcnk0MTg4MTkwMA==;microsoft/vscode;19/08/2021;0;03/09/2015;2176;TypeScript;120264;7341;43;118129;112278
18;MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=;trekhleb/javascript-algorithms;19/08/2021;0;24/03/2018;1243;JavaScript;117510;206;0;233;152
19;MDEwOlJlcG9zaXRvcnkyMzI1Mjk4;torvalds/linux;19/08/2021;0;04/09/2011;3636;C;116510;9;0;0;0
20;MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=;danistefanovic/build-your-own-x;19/08/2021;0;09/05/2018;1197;-;115149;84;0;428;307
21;MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==;TheAlgorithms/Python;19/08/2021;0;16/07/2016;1859;Python;114306;1579;0;725;720
22;MDEwOlJlcG9zaXRvcnk2NDk4NDky;airbnb/javascript;18/08/2021;0;01/11/2012;3212;JavaScript;113158;765;0;1092;1011
23;MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=;Snailclimb/JavaGuide;19/08/2021;0;07/05/2018;1199;Java;109321;482;0;643;590
24;MDEwOlJlcG9zaXRvcnkxMjM0NTg1NTE=;jackfrued/Python-100-Days;19/08/2021;0;01/03/2018;1266;Python;107224;12;0;507;87
25;MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==;vinta/awesome-python;19/08/2021;0;27/06/2014;2609;Python;101838;525;0;195;191
26;MDEwOlJlcG9zaXRvcnkxMDM5NTIw;ytdl-org/youtube-dl;19/08/2021;0;31/10/2010;3944;Python;99011;1528;340;24046;20329
27;MDEwOlJlcG9zaXRvcnk5NDMxNDk=;d3/d3;18/08/2021;0;27/09/2010;3978;JavaScript;97865;438;169;2089;2086
28;MDEwOlJlcG9zaXRvcnkyOTAyODc3NQ==;facebook/react-native;19/08/2021;0;09/01/2015;2413;JavaScript;97288;621;161;21647;20090
29;MDEwOlJlcG9zaXRvcnk5Mzg0MjY3;electron/electron;19/08/2021;0;12/04/2013;3050;C++;96301;12806;795;15570;14434
30;MDEwOlJlcG9zaXRvcnkyNDE1NzYyNzA=;labuladong/fucking-algorithm;19/08/2021;0;19/02/2020;546;-;94644;202;0;265;240
31;MDEwOlJlcG9zaXRvcnkxOTQxNTA2NA==;ossu/computer-science;19/08/2021;0;04/05/2014;2663;-;93921;191;0;541;529
32;MDEwOlJlcG9zaXRvcnkzNTk1NTY2Ng==;jlevy/the-art-of-command-line;19/08/2021;0;20/05/2015;2282;-;93745;303;0;185;86
33;MDEwOlJlcG9zaXRvcnk2MzUzNzI0OQ==;facebook/create-react-app;19/08/2021;0;17/07/2016;1858;JavaScript;89712;1884;81;7140;6207
34;MDEwOlJlcG9zaXRvcnkyMzA5Njk1OQ==;golang/go;19/08/2021;0;19/08/2014;2556;Go;88895;0;0;45533;38526
35;MDEwOlJlcG9zaXRvcnkyMzA4ODc0MA==;axios/axios;19/08/2021;0;18/08/2014;2557;JavaScript;87045;398;26;3099;2916
36;MDEwOlJlcG9zaXRvcnkxNDA5ODA2OQ==;justjavac/free-programming-books-zh_CN;19/08/2021;0;04/11/2013;2844;-;82188;269;3;0;0
37;MDEwOlJlcG9zaXRvcnkxMTI1MDcwODY=;30-seconds/30-seconds-of-code;19/08/2021;0;29/11/2017;1358;JavaScript;81942;748;4;274;272
38;MDEwOlJlcG9zaXRvcnkyNzE5Mzc3OQ==;nodejs/node;18/08/2021;0;26/11/2014;2457;JavaScript;81086;3224;245;13513;12337
39;MDEwOlJlcG9zaXRvcnkyMDU4MDQ5OA==;kubernetes/kubernetes;19/08/2021;0;06/06/2014;2630;Go;80136;48863;483;39047;37333
40;MDEwOlJlcG9zaXRvcnkxMzM0NDIzODQ=;denoland/deno;19/08/2021;0;15/05/2018;1191;Rust;77325;5243;141;4735;4154
41;MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=;microsoft/terminal;19/08/2021;0;11/08/2017;1468;C++;76537;2134;54;8415;7096
42;MDEwOlJlcG9zaXRvcnkyNDE5NTMzOQ==;angular/angular;19/08/2021;0;18/09/2014;2526;TypeScript;75790;2993;85;22971;21238
43;MDEwOlJlcG9zaXRvcnkzNDUyNjg4NA==;ant-design/ant-design;19/08/2021;0;24/04/2015;2308;TypeScript;73840;7567;420;21822;21159
44;MDEwOlJlcG9zaXRvcnkyMDkyOTAyNQ==;microsoft/TypeScript;19/08/2021;0;17/06/2014;2619;TypeScript;73569;10957;140;31154;26272
45;MDEwOlJlcG9zaXRvcnk1NzYyMDE=;mrdoob/three.js;19/08/2021;0;23/03/2010;4166;JavaScript;73565;8754;123;10575;10245
46;MDEwOlJlcG9zaXRvcnk5MDc5NjY2Mw==;puppeteer/puppeteer;18/08/2021;0;09/05/2017;1562;TypeScript;72778;1970;69;4940;3293
47;MDEwOlJlcG9zaXRvcnk3MDEwNzc4Ng==;vercel/next.js;19/08/2021;0;05/10/2016;1778;JavaScript;72113;6983;1103;10152;9171
48;MDEwOlJlcG9zaXRvcnkyNTYxNTgy;animate-css/animate.css;19/08/2021;0;12/10/2011;3598;CSS;71864;271;22;784;775
49;MDEwOlJlcG9zaXRvcnk1MTExNzgzNw==;tensorflow/models;19/08/2021;0;05/02/2016;2021;Python;70950;2184;17;6557;5495
50;MDEwOlJlcG9zaXRvcnkyMzA4MzE1Ng==;mui-org/material-ui;19/08/2021;0;18/08/2014;2557;JavaScript;70393;11388;316;13580;13082
51;MDEwOlJlcG9zaXRvcnk4ODQ2NDcwNA==;PanJiaChen/vue-element-admin;19/08/2021;0;17/04/2017;1584;Vue;70049;313;49;3224;2261
52;MDEwOlJlcG9zaXRvcnkxMDM2MzM5ODQ=;goldbergyoni/nodebestpractices;18/08/2021;0;15/09/2017;1433;JavaScript;69836;668;0;275;251
53;MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==;iluwatar/java-design-patterns;18/08/2021;0;09/08/2014;2566;Java;69579;762;0;676;448
54;MDEwOlJlcG9zaXRvcnkyMTU0MDc1OQ==;avelino/awesome-go;19/08/2021;0;06/07/2014;2600;Go;67355;2437;0;310;284
55;MDEwOlJlcG9zaXRvcnkxNjA2NDAwOTQ=;MisterBooo/LeetCodeAnimation;19/08/2021;0;06/12/2018;986;Java;66456;63;0;53;42
56;MDEwOlJlcG9zaXRvcnkxODYzMzI5;laravel/laravel;19/08/2021;0;08/06/2011;3724;PHP;66269;1326;85;0;0
57;MDEwOlJlcG9zaXRvcnkzNDcwNDcx;FortAwesome/Font-Awesome;19/08/2021;0;17/02/2012;3470;JavaScript;65959;184;43;17455;11774
58;MDEwOlJlcG9zaXRvcnk1NDE3MzU5Mw==;storybookjs/storybook;19/08/2021;0;18/03/2016;1979;TypeScript;64111;5804;845;7911;6659
59;MDEwOlJlcG9zaXRvcnkzMzYxNDMwNA==;nvbn/thefuck;18/08/2021;0;08/04/2015;2324;Python;63542;462;16;602;429
60;MDEwOlJlcG9zaXRvcnkzNjYzMzM3MA==;awesome-selfhosted/awesome-selfhosted;19/08/2021;0;01/06/2015;2270;JavaScript;62402;1615;0;618;529
61;MDEwOlJlcG9zaXRvcnk0NDU3MTcxOA==;vuejs/awesome-vue;18/08/2021;0;20/10/2015;2129;-;61848;3179;0;200;175
62;MDEwOlJlcG9zaXRvcnk3NjkxNjMx;moby/moby;18/08/2021;0;18/01/2013;3134;Go;60910;16906;97;21047;17177
63;MDEwOlJlcG9zaXRvcnk1MjYzMTg0MQ==;gothinkster/realworld;19/08/2021;0;26/02/2016;2000;Shell;59681;184;0;442;398
64;MDEwOlJlcG9zaXRvcnk0NjAwNzg=;angular/angular.js;18/08/2021;0;06/01/2010;4242;JavaScript;59593;788;0;9025;8634
65;MDEwOlJlcG9zaXRvcnk0MTY0NDgy;django/django;18/08/2021;0;28/04/2012;3399;Python;59138;6737;0;0;0
66;MDEwOlJlcG9zaXRvcnkzNjc4NzMx;webpack/webpack;18/08/2021;0;10/03/2012;3448;JavaScript;59062;3850;340;8431;8244
67;MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=;microsoft/PowerToys;19/08/2021;0;01/05/2019;840;C#;58784;2615;41;9835;7974
68;MDEwOlJlcG9zaXRvcnk3MjQ3MTI=;rust-lang/rust;19/08/2021;0;16/06/2010;4081;Rust;57879;35750;89;40318;33174
69;MDEwOlJlcG9zaXRvcnkyNjUwMDc4Nw==;tonsky/FiraCode;19/08/2021;0;11/11/2014;2472;Clojure;57723;106;26;1100;823
70;MDEwOlJlcG9zaXRvcnkxODYxNDU4;hakimel/reveal.js;19/08/2021;0;07/06/2011;3725;JavaScript;56984;349;34;2001;1429
71;MDEwOlJlcG9zaXRvcnk0NDgzODk0OQ==;apple/swift;19/08/2021;0;23/10/2015;2126;C++;56955;34019;33;0;0
72;MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw;spring-projects/spring-boot;19/08/2021;0;19/10/2012;3225;Java;56729;41;103;22681;22226
73;MDEwOlJlcG9zaXRvcnkzNjUzNTE1Ng==;reduxjs/redux;18/08/2021;0;29/05/2015;2273;TypeScript;56506;1438;64;1899;1866
74;MDEwOlJlcG9zaXRvcnkxMTgxOTI3;bitcoin/bitcoin;19/08/2021;0;19/12/2010;3895;C++;56449;10548;35;6403;5789
75;MDEwOlJlcG9zaXRvcnk1OTY4OTI=;pallets/flask;19/08/2021;0;06/04/2010;4152;Python;56348;1247;14;2186;2169
76;MDEwOlJlcG9zaXRvcnk2MjYwNzIyNw==;yangshun/tech-interview-handbook;19/08/2021;0;05/07/2016;1870;JavaScript;56160;142;0;31;26
77;MDEwOlJlcG9zaXRvcnk1MTA4MDUx;opencv/opencv;19/08/2021;0;19/07/2012;3317;C++;56126;9898;54;8221;6324
78;MDEwOlJlcG9zaXRvcnk1MDc3NzU=;elastic/elasticsearch;19/08/2021;0;08/02/2010;4209;Java;56102;41417;55;27719;24716
79;MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=;doocs/advanced-java;19/08/2021;0;06/10/2018;1047;Java;56032;61;0;115;112
80;MDEwOlJlcG9zaXRvcnkzMjI4NTA1;atom/atom;19/08/2021;0;20/01/2012;3498;JavaScript;55905;3876;534;16646;15915
81;MDEwOlJlcG9zaXRvcnkxNDc0NzU5OA==;typicode/json-server;19/08/2021;0;27/11/2013;2821;JavaScript;55769;97;10;955;438
82;MDEwOlJlcG9zaXRvcnk3NDc5MTM2Ng==;ryanmcdermott/clean-code-javascript;19/08/2021;0;25/11/2016;1727;JavaScript;55618;146;0;106;72
